무기,적,틀,ID,변형,기준,승률,Δpp(틀 기준),빈카드 승률(같은 빛),Δ효과,사용/판,Δ효과÷사용,대역(Δ효과 ±5),은신 켜짐,배치
적설,보스,std,YJ-D06,숨통 표식 20,0.456,0.222,-23.4,0.233,-1.1,7.29,-0.15,안,0.00,6
적설,보스,std,YJ-D06,숨통 표식 40,0.456,0.267,-18.9,0.233,+3.4,7.27,+0.47,안,0.00,6
적설,보스,std,YJ-D07,소문 표식 4,0.456,0.248,-20.8,0.233,+1.5,7.27,+0.21,안,0.00,6
적설,보스,std,YJ-D07,소문 표식 8,0.456,0.254,-20.2,0.233,+2.1,7.28,+0.29,안,0.00,6
적설,보스,std,YJ-D07,소문 표식 16,0.456,0.231,-22.5,0.233,-0.2,7.29,-0.03,안,0.00,6
적설,보스,std,YJ-D14,마침표 감 1,0.456,0.233,-22.3,0.233,+0.0,7.28,+0.00,안,0.00,6
적설,보스,std,YJ-D14,마침표 감 2,0.456,0.233,-22.3,0.233,+0.0,7.28,+0.00,안,0.00,6
적설,보스,std,YJ-D14,마침표 감 4,0.456,0.233,-22.3,0.233,+0.0,7.28,+0.00,안,0.00,6
낙일,보스,std,YJ-D06,숨통 표식 10,0.516,0.512,-0.4,0.512,+0.0,9.24,+0.00,안,0.00,6
낙일,보스,std,YJ-D06,숨통 표식 20,0.516,0.512,-0.4,0.512,+0.0,9.24,+0.00,안,0.00,6
낙일,보스,std,YJ-D06,숨통 표식 40,0.516,0.512,-0.4,0.512,+0.0,9.24,+0.00,안,0.00,6
낙일,보스,std,YJ-D07,소문 표식 4,0.516,0.512,-0.4,0.512,+0.0,9.24,+0.00,안,0.00,6
낙일,보스,std,YJ-D07,소문 표식 8,0.516,0.512,-0.4,0.512,+0.0,9.24,+0.00,안,0.00,6
낙일,보스,std,YJ-D07,소문 표식 16,0.516,0.512,-0.4,0.512,+0.0,9.24,+0.00,안,0.00,6
낙일,보스,std,YJ-D14,마침표 감 1,0.516,0.516,+0.0,0.512,+0.4,9.23,+0.04,안,0.00,6
낙일,보스,std,YJ-D14,마침표 감 2,0.516,0.517,+0.1,0.512,+0.5,9.24,+0.05,안,0.00,6
낙일,보스,std,YJ-D14,마침표 감 4,0.516,0.517,+0.1,0.512,+0.5,9.24,+0.05,안,0.00,6
백우,보스,std,YJ-D11,폭발덫 스택당 0,0.472,0.534,+6.2,0.534,+0.0,8.88,+0.00,안,0.00,7
백우,보스,std,YJ-D11,폭발덫 스택당 8,0.472,0.626,+15.4,0.534,+9.2,8.33,+1.10,위,0.00,7
백우,보스,std,YJ-D11,폭발덫 스택당 16,0.472,0.686,+21.4,0.534,+15.2,7.91,+1.92,위,0.00,7
백우,보스,std,YJ-D11,폭발덫 스택당 24,0.472,0.782,+31.0,0.534,+24.8,7.55,+3.28,위,0.00,7
백우,보스,std,YJ-D16,끝장 감당 풀 0,0.472,0.455,-1.7,0.317,+13.8,5.17,+2.67,위,0.00,7
백우,보스,std,YJ-D16,끝장 감당 풀 4,0.472,0.515,+4.3,0.317,+19.8,5.12,+3.87,위,0.00,7
백우,보스,std,YJ-D16,끝장 감당 풀 8,0.472,0.590,+11.8,0.317,+27.3,4.96,+5.50,위,0.00,7
백우,보스,std,YJ-D16,끝장 감당 풀 12,0.472,0.608,+13.6,0.317,+29.1,4.91,+5.93,위,0.00,7
적설,보스,std,YJ-D11,폭발덫 스택당 0,0.456,0.233,-22.3,0.233,+0.0,7.28,+0.00,안,0.00,7
적설,보스,std,YJ-D11,폭발덫 스택당 8,0.456,0.385,-7.1,0.233,+15.2,7.07,+2.15,위,0.00,7
적설,보스,std,YJ-D11,폭발덫 스택당 16,0.456,0.517,+6.1,0.233,+28.4,6.70,+4.24,위,0.00,7
적설,보스,std,YJ-D11,폭발덫 스택당 24,0.456,0.679,+22.3,0.233,+44.6,6.40,+6.97,위,0.00,7
적설,보스,std,YJ-D16,끝장 감당 풀 0,0.456,0.248,-20.8,0.139,+10.9,2.91,+3.75,위,0.00,7
적설,보스,std,YJ-D16,끝장 감당 풀 4,0.456,0.325,-13.1,0.139,+18.6,2.98,+6.25,위,0.00,7
적설,보스,std,YJ-D16,끝장 감당 풀 8,0.456,0.355,-10.1,0.139,+21.6,2.88,+7.49,위,0.00,7
적설,보스,std,YJ-D16,끝장 감당 풀 12,0.456,0.400,-5.6,0.139,+26.1,2.85,+9.15,위,0.00,7
낙일,보스,std,YJ-D11,폭발덫 스택당 0,0.516,0.512,-0.4,0.512,+0.0,9.24,+0.00,안,0.00,7
낙일,보스,std,YJ-D11,폭발덫 스택당 8,0.516,0.498,-1.8,0.512,-1.4,9.06,-0.15,안,0.00,7
낙일,보스,std,YJ-D11,폭발덫 스택당 16,0.516,0.515,-0.1,0.512,+0.3,9.18,+0.03,안,0.00,7
낙일,보스,std,YJ-D11,폭발덫 스택당 24,0.516,0.519,+0.3,0.512,+0.7,9.15,+0.08,안,0.00,7
낙일,보스,std,YJ-D16,끝장 감당 풀 0,0.516,0.530,+1.4,0.544,-1.4,2.67,-0.52,안,0.00,7
낙일,보스,std,YJ-D16,끝장 감당 풀 4,0.516,0.539,+2.3,0.544,-0.5,2.62,-0.19,안,0.00,7
낙일,보스,std,YJ-D16,끝장 감당 풀 8,0.516,0.548,+3.2,0.544,+0.4,2.64,+0.15,안,0.00,7
낙일,보스,std,YJ-D16,끝장 감당 풀 12,0.516,0.551,+3.5,0.544,+0.7,2.64,+0.26,안,0.00,7
백우,보스,std,YJ-D15,앞당기기 감1 표식6,0.472,0.642,+17.0,0.755,-11.3,6.49,-1.74,아래,0.00,8
백우,보스,std,YJ-D15,앞당기기 감1 표식12,0.472,0.621,+14.9,0.755,-13.4,6.49,-2.06,아래,0.00,8
백우,보스,std,YJ-D15,앞당기기 감2 표식20,0.472,0.715,+24.3,0.755,-4.0,6.58,-0.61,안,0.00,8
적설,보스,std,YJ-D15,앞당기기 감1 표식6,0.456,0.420,-3.6,0.431,-1.1,5.41,-0.20,안,0.00,8
적설,보스,std,YJ-D15,앞당기기 감1 표식12,0.456,0.411,-4.5,0.431,-2.0,5.37,-0.37,안,0.00,8
적설,보스,std,YJ-D15,앞당기기 감2 표식20,0.456,0.412,-4.4,0.431,-1.9,5.38,-0.35,안,0.00,8
낙일,보스,std,YJ-D15,앞당기기 감1 표식6,0.516,0.709,+19.3,0.665,+4.4,6.03,+0.73,안,0.00,8
낙일,보스,std,YJ-D15,앞당기기 감1 표식12,0.516,0.709,+19.3,0.665,+4.4,6.03,+0.73,안,0.00,8
낙일,보스,std,YJ-D15,앞당기기 감2 표식20,0.516,0.687,+17.1,0.665,+2.2,5.81,+0.38,안,0.00,8
백우,보스,std,YJ-D02,추가타 횟수 1,0.472,0.738,+26.6,0.534,+20.4,7.45,+2.74,위,0.00,9
백우,보스,std,YJ-D02,추가타 횟수 2,0.472,0.861,+38.9,0.534,+32.7,6.40,+5.11,위,0.00,9
백우,보스,std,YJ-D02,추가타 횟수 3,0.472,0.928,+45.6,0.534,+39.4,5.69,+6.93,위,0.00,9
백우,보스,std,YJ-D09,퇴로 1/10/10,0.472,0.207,-26.5,0.534,-32.7,2.99,-10.93,아래,0.00,9
백우,보스,std,YJ-D09,퇴로 1/5/20,0.472,0.218,-25.4,0.534,-31.6,3.02,-10.48,아래,0.00,9
백우,보스,std,YJ-D09,퇴로 2/10/20,0.472,0.204,-26.8,0.534,-33.0,2.97,-11.11,아래,0.00,9
백우,보스,std,YJ-D10,빌려쓰기 빛1,0.472,0.096,-37.6,0.534,-43.8,8.16,-5.37,아래,0.00,9
백우,보스,std,YJ-D10,빌려쓰기 빛2,0.472,0.311,-16.1,0.755,-44.4,6.75,-6.58,아래,0.00,9
백우,보스,std,YJ-D10,빌려쓰기 빛3,0.472,0.472,+0.0,0.815,-34.3,4.94,-6.95,아래,0.00,9
적설,보스,std,YJ-D02,추가타 횟수 1,0.456,0.645,+18.9,0.233,+41.2,6.36,+6.48,위,0.00,9
적설,보스,std,YJ-D02,추가타 횟수 2,0.456,0.861,+40.5,0.233,+62.8,5.42,+11.58,위,0.00,9
적설,보스,std,YJ-D02,추가타 횟수 3,0.456,0.946,+49.0,0.233,+71.3,4.72,+15.09,위,0.00,9
적설,보스,std,YJ-D09,퇴로 1/10/10,0.456,0.024,-43.2,0.233,-20.9,0.71,-29.56,아래,0.00,9
적설,보스,std,YJ-D09,퇴로 1/5/20,0.456,0.022,-43.4,0.233,-21.1,0.72,-29.39,아래,0.00,9
적설,보스,std,YJ-D09,퇴로 2/10/20,0.456,0.019,-43.7,0.233,-21.4,0.70,-30.66,아래,0.00,9
적설,보스,std,YJ-D10,빌려쓰기 빛1,0.456,0.361,-9.5,0.233,+12.8,7.71,+1.66,위,0.00,9
적설,보스,std,YJ-D10,빌려쓰기 빛2,0.456,0.629,+17.3,0.431,+19.8,5.42,+3.65,위,0.00,9
적설,보스,std,YJ-D10,빌려쓰기 빛3,0.456,0.731,+27.5,0.519,+21.2,3.87,+5.48,위,0.00,9
낙일,보스,std,YJ-D02,추가타 횟수 1,0.516,0.557,+4.1,0.512,+4.5,9.19,+0.49,안,0.00,9
낙일,보스,std,YJ-D02,추가타 횟수 2,0.516,0.629,+11.3,0.512,+11.7,9.19,+1.27,위,0.00,9
낙일,보스,std,YJ-D02,추가타 횟수 3,0.516,0.628,+11.2,0.512,+11.6,9.15,+1.27,위,0.00,9
낙일,보스,std,YJ-D09,퇴로 1/10/10,0.516,0.464,-5.2,0.512,-4.8,0.59,-8.08,안,0.00,9
낙일,보스,std,YJ-D09,퇴로 1/5/20,0.516,0.464,-5.2,0.512,-4.8,0.59,-8.08,안,0.00,9
낙일,보스,std,YJ-D09,퇴로 2/10/20,0.516,0.463,-5.3,0.512,-4.9,0.59,-8.25,안,0.00,9
낙일,보스,std,YJ-D10,빌려쓰기 빛1,0.516,0.871,+35.5,0.512,+35.9,8.62,+4.16,위,0.00,9
낙일,보스,std,YJ-D10,빌려쓰기 빛2,0.516,0.839,+32.3,0.665,+17.4,5.93,+2.93,위,0.00,9
낙일,보스,std,YJ-D10,빌려쓰기 빛3,0.516,0.859,+34.3,0.712,+14.7,4.37,+3.37,위,0.00,9
백우,보스,stealth,YJ-B11,은신보상 표식 3,0.643,0.607,-3.6,0.643,-3.6,9.39,-0.38,안,0.74,10
백우,보스,stealth,YJ-B11,은신보상 표식 6,0.643,0.609,-3.4,0.643,-3.4,9.36,-0.36,안,0.75,10
백우,보스,stealth,YJ-B11,은신보상 표식 12,0.643,0.607,-3.6,0.643,-3.6,9.43,-0.38,안,0.74,10
백우,보스,stealth,YJ-D18,은신보상 피해 4,0.643,0.765,+12.2,0.645,+12.0,8.63,+1.39,위,0.87,10
백우,보스,stealth,YJ-D18,은신보상 피해 8,0.643,0.853,+21.0,0.645,+20.8,7.82,+2.66,위,0.87,10
백우,보스,stealth,YJ-D18,은신보상 피해 16,0.643,0.968,+32.5,0.645,+32.3,6.71,+4.81,위,0.85,10
적설,보스,stealth,YJ-B11,은신보상 표식 3,0.440,0.454,+1.4,0.440,+1.4,7.43,+0.19,안,0.75,10
적설,보스,stealth,YJ-B11,은신보상 표식 6,0.440,0.436,-0.4,0.440,-0.4,7.45,-0.05,안,0.73,10
적설,보스,stealth,YJ-B11,은신보상 표식 12,0.440,0.463,+2.3,0.440,+2.3,7.56,+0.30,안,0.73,10
적설,보스,stealth,YJ-D18,은신보상 피해 4,0.440,0.356,-8.4,0.243,+11.3,7.15,+1.58,위,0.83,10
적설,보스,stealth,YJ-D18,은신보상 피해 8,0.440,0.479,+3.9,0.243,+23.6,6.91,+3.41,위,0.82,10
적설,보스,stealth,YJ-D18,은신보상 피해 16,0.440,0.753,+31.3,0.243,+51.0,6.49,+7.86,위,0.82,10
낙일,보스,stealth,YJ-B11,은신보상 표식 3,0.276,0.272,-0.4,0.276,-0.4,7.97,-0.05,안,0.59,10
낙일,보스,stealth,YJ-B11,은신보상 표식 6,0.276,0.272,-0.4,0.276,-0.4,7.97,-0.05,안,0.59,10
낙일,보스,stealth,YJ-B11,은신보상 표식 12,0.276,0.272,-0.4,0.276,-0.4,7.97,-0.05,안,0.59,10
낙일,보스,stealth,YJ-D18,은신보상 피해 4,0.276,0.240,-3.6,0.276,-3.6,7.77,-0.46,안,0.72,10
낙일,보스,stealth,YJ-D18,은신보상 피해 8,0.276,0.349,+7.3,0.276,+7.3,8.15,+0.90,위,0.71,10
낙일,보스,stealth,YJ-D18,은신보상 피해 16,0.276,0.567,+29.1,0.276,+29.1,8.71,+3.34,위,0.67,10
백우,보스,std,YJ-S01,노림수 5,0.472,0.453,-1.9,,-1.9,1.00,-1.90,안,0.00,11
백우,보스,std,YJ-S01,노림수 10,0.472,0.488,+1.6,,+1.6,1.00,+1.60,안,0.00,11
백우,보스,std,YJ-S01,노림수 20,0.472,0.547,+7.5,,+7.5,1.00,+7.50,위,0.00,11
백우,보스,std,YJ-S02,선금 1,0.472,0.457,-1.5,,-1.5,1.00,-1.50,안,0.00,11
백우,보스,std,YJ-S02,선금 2,0.472,0.496,+2.4,,+2.4,1.00,+2.40,안,0.00,11
백우,보스,std,YJ-S02,선금 4,0.472,0.636,+16.4,,+16.4,1.00,+16.40,위,0.00,11
백우,보스,std,YJ-S06,숨죽이기 방어도 10,0.472,0.410,-6.2,,-6.2,1.00,-6.20,아래,0.00,11
백우,보스,std,YJ-S06,숨죽이기 방어도 20,0.472,0.457,-1.5,,-1.5,1.00,-1.50,안,0.00,11
백우,보스,std,YJ-S06,숨죽이기 방어도 40,0.472,0.512,+4.0,,+4.0,1.00,+4.00,안,0.00,11
백우,보스,std,YJ-S08,손질 3,0.472,0.415,-5.7,,-5.7,1.00,-5.70,아래,0.00,11
백우,보스,std,YJ-S08,손질 6,0.472,0.446,-2.6,,-2.6,1.00,-2.60,안,0.00,11
백우,보스,std,YJ-S08,손질 12,0.472,0.425,-4.7,,-4.7,1.00,-4.70,안,0.00,11
적설,보스,std,YJ-S01,노림수 5,0.456,0.496,+4.0,,+4.0,1.00,+4.00,안,0.00,11
적설,보스,std,YJ-S01,노림수 10,0.456,0.487,+3.1,,+3.1,1.00,+3.10,안,0.00,11
적설,보스,std,YJ-S01,노림수 20,0.456,0.547,+9.1,,+9.1,1.00,+9.10,위,0.00,11
적설,보스,std,YJ-S02,선금 1,0.456,0.483,+2.7,,+2.7,1.00,+2.70,안,0.00,11
적설,보스,std,YJ-S02,선금 2,0.456,0.465,+0.9,,+0.9,1.00,+0.90,안,0.00,11
적설,보스,std,YJ-S02,선금 4,0.456,0.563,+10.7,,+10.7,1.00,+10.70,위,0.00,11
적설,보스,std,YJ-S06,숨죽이기 방어도 10,0.456,0.467,+1.1,,+1.1,1.00,+1.10,안,0.00,11
적설,보스,std,YJ-S06,숨죽이기 방어도 20,0.456,0.491,+3.5,,+3.5,1.00,+3.50,안,0.00,11
적설,보스,std,YJ-S06,숨죽이기 방어도 40,0.456,0.543,+8.7,,+8.7,1.00,+8.70,위,0.00,11
적설,보스,std,YJ-S08,손질 3,0.456,0.475,+1.9,,+1.9,1.00,+1.90,안,0.00,11
적설,보스,std,YJ-S08,손질 6,0.456,0.455,-0.1,,-0.1,1.00,-0.10,안,0.00,11
적설,보스,std,YJ-S08,손질 12,0.456,0.465,+0.9,,+0.9,1.00,+0.90,안,0.00,11
낙일,보스,std,YJ-S01,노림수 5,0.516,0.590,+7.4,,+7.4,1.00,+7.40,위,0.00,11
낙일,보스,std,YJ-S01,노림수 10,0.516,0.651,+13.5,,+13.5,1.00,+13.50,위,0.00,11
낙일,보스,std,YJ-S01,노림수 20,0.516,0.667,+15.1,,+15.1,1.00,+15.10,위,0.00,11
낙일,보스,std,YJ-S02,선금 1,0.516,0.597,+8.1,,+8.1,1.00,+8.10,위,0.00,11
낙일,보스,std,YJ-S02,선금 2,0.516,0.576,+6.0,,+6.0,1.00,+6.00,위,0.00,11
낙일,보스,std,YJ-S02,선금 4,0.516,0.632,+11.6,,+11.6,1.00,+11.60,위,0.00,11
낙일,보스,std,YJ-S06,숨죽이기 방어도 10,0.516,0.504,-1.2,,-1.2,1.00,-1.20,안,0.00,11
낙일,보스,std,YJ-S06,숨죽이기 방어도 20,0.516,0.560,+4.4,,+4.4,1.00,+4.40,안,0.00,11
낙일,보스,std,YJ-S06,숨죽이기 방어도 40,0.516,0.586,+7.0,,+7.0,1.00,+7.00,위,0.00,11
낙일,보스,std,YJ-S08,손질 3,0.516,0.556,+4.0,,+4.0,1.00,+4.00,안,0.00,11
낙일,보스,std,YJ-S08,손질 6,0.516,0.556,+4.0,,+4.0,1.00,+4.00,안,0.00,11
낙일,보스,std,YJ-S08,손질 12,0.516,0.556,+4.0,,+4.0,1.00,+4.00,안,0.00,11
백우,보스,std,YJ-B02,숨고르기 감 1,0.472,0.000,-47.2,0.000,+0.0,3.18,+0.00,안,0.00,12
백우,보스,std,YJ-B02,숨고르기 감 2,0.472,0.000,-47.2,0.000,+0.0,3.21,+0.00,안,0.00,12
백우,보스,std,YJ-B02,숨고르기 감 3,0.472,0.000,-47.2,0.000,+0.0,3.19,+0.00,안,0.00,12
백우,보스,std,YJ-B09,현상수배 1,0.472,0.001,-47.1,0.000,+0.1,6.42,+0.02,안,0.00,12
백우,보스,std,YJ-B09,현상수배 2,0.472,0.005,-46.7,0.000,+0.5,6.50,+0.08,안,0.00,12
백우,보스,std,YJ-B10,은신부여 1,0.472,0.001,-47.1,0.001,+0.0,11.29,+0.00,안,0.00,12
백우,보스,std,YJ-B10,은신부여 2,0.472,0.004,-46.8,0.001,+0.3,11.21,+0.03,안,0.00,12
백우,보스,std,YJ-D12,공명 0/0/0,0.472,0.483,+1.1,0.483,+0.0,8.73,+0.00,안,0.00,12
백우,보스,std,YJ-D12,공명 10/1/5,0.472,0.454,-1.8,0.483,-2.9,8.68,-0.33,안,0.00,12
백우,보스,std,YJ-D12,공명 20/2/10,0.472,0.483,+1.1,0.483,+0.0,8.72,+0.00,안,0.00,12
백우,보스,std,YJ-D17,은신부여결투 1,0.472,0.645,+17.3,0.483,+16.2,9.20,+1.76,위,0.00,12
백우,보스,std,YJ-D17,은신부여결투 2,0.472,0.632,+16.0,0.483,+14.9,9.13,+1.63,위,0.00,12
적설,보스,std,YJ-B02,숨고르기 감 1,0.456,0.001,-45.5,0.003,-0.2,1.54,-0.13,안,0.00,12
적설,보스,std,YJ-B02,숨고르기 감 2,0.456,0.001,-45.5,0.003,-0.2,1.54,-0.13,안,0.00,12
적설,보스,std,YJ-B02,숨고르기 감 3,0.456,0.001,-45.5,0.003,-0.2,1.54,-0.13,안,0.00,12
적설,보스,std,YJ-B09,현상수배 1,0.456,0.010,-44.6,0.003,+0.7,4.04,+0.17,안,0.00,12
적설,보스,std,YJ-B09,현상수배 2,0.456,0.013,-44.3,0.003,+1.0,4.27,+0.23,안,0.00,12
적설,보스,std,YJ-B10,은신부여 1,0.456,0.017,-43.9,0.016,+0.1,9.98,+0.01,안,0.00,12
적설,보스,std,YJ-B10,은신부여 2,0.456,0.017,-43.9,0.016,+0.1,10.13,+0.01,안,0.00,12
적설,보스,std,YJ-D12,공명 0/0/0,0.456,0.463,+0.7,0.463,+0.0,7.21,+0.00,안,0.00,12
적설,보스,std,YJ-D12,공명 10/1/5,0.456,0.605,+14.9,0.463,+14.2,7.16,+1.98,위,0.00,12
적설,보스,std,YJ-D12,공명 20/2/10,0.456,0.755,+29.9,0.463,+29.2,7.14,+4.09,위,0.00,12
적설,보스,std,YJ-D17,은신부여결투 1,0.456,0.484,+2.8,0.463,+2.1,7.18,+0.29,안,0.00,12
적설,보스,std,YJ-D17,은신부여결투 2,0.456,0.478,+2.2,0.463,+1.5,7.18,+0.21,안,0.00,12
낙일,보스,std,YJ-B02,숨고르기 감 1,0.516,0.004,-51.2,0.004,+0.0,0.22,+0.00,안,0.00,12
낙일,보스,std,YJ-B02,숨고르기 감 2,0.516,0.004,-51.2,0.004,+0.0,0.22,+0.00,안,0.00,12
낙일,보스,std,YJ-B02,숨고르기 감 3,0.516,0.004,-51.2,0.004,+0.0,0.22,+0.00,안,0.00,12
낙일,보스,std,YJ-B09,현상수배 1,0.516,0.001,-51.5,0.001,+0.0,1.59,+0.00,안,0.00,12
낙일,보스,std,YJ-B09,현상수배 2,0.516,0.001,-51.5,0.001,+0.0,1.59,+0.00,안,0.00,12
낙일,보스,std,YJ-B10,은신부여 1,0.516,0.010,-50.6,0.014,-0.4,10.45,-0.04,안,0.00,12
낙일,보스,std,YJ-B10,은신부여 2,0.516,0.009,-50.7,0.014,-0.5,10.45,-0.05,안,0.00,12
낙일,보스,std,YJ-D12,공명 0/0/0,0.516,0.516,+0.0,0.516,+0.0,7.03,+0.00,안,0.00,12
낙일,보스,std,YJ-D12,공명 10/1/5,0.516,0.523,+0.7,0.516,+0.7,7.01,+0.10,안,0.00,12
낙일,보스,std,YJ-D12,공명 20/2/10,0.516,0.525,+0.9,0.516,+0.9,6.98,+0.13,안,0.00,12
낙일,보스,std,YJ-D17,은신부여결투 1,0.516,0.532,+1.6,0.516,+1.6,7.10,+0.23,안,0.00,12
낙일,보스,std,YJ-D17,은신부여결투 2,0.516,0.517,+0.1,0.516,+0.1,7.05,+0.01,안,0.00,12
백우,잡몹4,std,YJ-D06,숨통 표식 10,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D06,숨통 표식 20,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D06,숨통 표식 40,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D07,소문 표식 4,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
