CaseId,RequirementId,ModuleId,DisplayName,Category,ExecutionMode,Status,Required,ElapsedMilliseconds,Expected,Actual,Details
"phaseb.c12.whole_hp_full_request","C-12","phase_b.damage_resource","부위 clamp와 Whole HP 분리","Damage","IsolatedRuntime","Pass",True,6,"Part 적용량과 무관하게 Whole HP에는 요청 피해 전량","Whole=-5, Part=2->1",""
"phaseb.c13.weakened_rehit","C-13","phase_b.damage_resource","약화 부위 재타격 Whole HP","Damage","IsolatedRuntime","Pass",True,2,"Weakened PartHP=1 유지 + Whole HP 감소","Whole=-5, Part=1",""
"phaseb.c15.status_anchor","C-15","phase_b.damage_resource","Single HP 상태 Anchor","Status","IsolatedRuntime","Fail",True,9,"부위 없는 대상은 Character anchor / weaken·break=false","Anchor=False, BleedBefore=1, Tick=0, BleedAfter=1",""
"phaseb.c17.broken_head_energy","C-17","phase_b.damage_resource","머리 파괴 최대 빛 -1","Resource","IsolatedRuntime","Pass",True,4,"BrokenHead 적용 -1 / 제거 +1 복원","MaxEnergy=3->2->3",""
"phaseb.c18.kill_weaken_energy_reward","C-18","phase_b.damage_resource","약화·처치 빛 보상","Resource","IsolatedRuntime","Pass",True,6,"플레이어가 적 부위 약화 +1, 적 처치 +1","Energy=1->2->3",""
"phaseb.c19.turn_end_reward","C-19","phase_b.damage_resource","짓누름/짓눌림 다음 턴 보상","Momentum","IsolatedRuntime","Pass",True,3,"Overwhelm→next Light+1 / LastStand→next Judgment+1","Light=2->3->3, Judgment=True",""
"phaseb.c20.no_laststand_multiplier","C-20","phase_b.damage_resource","구 발악 배수·히후미 반감 제거","Momentum","IsolatedRuntime","Pass",True,2,"LastStand에서도 HitShift=20 / Hifumi damage·bone=1:1","Shift=20, Damage=10, Bone=10",""
"phaseb.c21.hifumi_fervor","C-21","phase_b.damage_resource","히후미 열세·짓눌림 고조 +3","Fervor","StaticContract","Pass",True,0,"Disadvantage/LastStand gain=3","Disadvantage=3, LastStand=3",""
"phaseb.c22.prestige_events","C-22","phase_b.damage_resource","위세 사건별 +1/+1/+2/+5","Prestige","IsolatedRuntime","Pass",True,4,"ClashStart1 + Exchange1 + ClashWin2 + Kill5","1+1+2+5=9",""
"phaseb.c23.armor_lifetime","C-23","phase_b.damage_resource","방어도 전투 지속 누적","Resource","IsolatedRuntime","Pass",True,2,"TurnEnd 유지 / BattleEnd 0","Block=10->10->0",""
"phaseb.c24.crouch_additive","C-24","phase_b.damage_resource","웅크리기 방어도 +12 가산","Resource","IsolatedRuntime","Pass",True,2,"10 + 12 = 22","10+12=22",""
"phaseb.c25.damage_min_before_armor","C-25","phase_b.damage_resource","최종 피해 min1 후 armor","Damage","IsolatedRuntime","Pass",True,3,"flat으로 0 이하가 되어도 armor 전 1, armor가 그 1을 흡수 가능","NoArmor=1, PreArmor=1, Absorb=1, Final=0",""
"phaseb.c27.common_status_syntax","C-27","phase_b.damage_resource","공용 상태 0915 문법","Status","StaticContract","Pass",True,0,"Strength/Weakness 전 굴림 적용, Sturdy/Disarm 신규 효과 비활성","Strength=2, Weakness=-2, TBDDisabled=True",""
"phaseb.c49.opposite_status_algebra","C-49","phase_b.damage_resource","반대 상태 대수 상쇄","Status","IsolatedRuntime","Pass",True,3,"Strength3 + Weakness2 => Strength1","Strength=1, Weakness=0",""
"phaseb.c48.regeneration_dimensions","C-48","phase_b.damage_resource","재생 duration/heal/channel 분리","Status","StaticContract","Pass",True,0,"3턴 HP+8 / 3턴 Stagger+5를 독립 표현","HP:3x8 / Stagger:3x5",""
"phaseb.c41.elite_stagger_unset","C-41","phase_b.damage_resource","Elite Stagger 미정=Unset","Data","StaticContract","Pass",True,0,"Elite default maximum=0(Unset), 임의 100 금지","EliteEnemyMaximum=0(Unset)",""
"phaseb.c43.normal_enemy_d8","C-43","phase_b.damage_resource","일반 몹 D8 fallback","Data","StaticContract","Pass",True,0,"미지정 dice=1..8","Fallback=1..8",""
"system.live.manager_initialized","","live.scene","BattleManager Production Scene 초기화","LiveState","LiveScene","Pass",True,0,"Initialized BattleManager + Player + Enemy + production services","Manager=True, Initialized=True, Player=True, Enemies=3, Services=True",""
